Store,Items,Amount,Category
McDonalds,lunch takeout,140.17,Food & Dining
Unknown Vendor,service,798.33,Others
Local Clinic,prescription medicine,355.88,Healthcare
AMC Theaters,music game,25.4,Entertainment
Metro,gas transit #7224,68.4,Transportation
Verizon,payment service bill,458.32,Bills & Utilities
Whole Foods,meat produce food,60.2,Groceries
Electric Company,service utility monthly,803.33,Bills & Utilities
Verizon,monthly bill,663.51,Bills & Utilities
Verizon,bill monthly,570.66,Bills & Utilities
Miscellaneous,service misc,653.49,Others
Kroger,food groceries,174.76,Groceries
Nike,accessories,253.63,Shopping
Walgreens,health prescription,169.91,Healthcare
Walgreens,doctor medical,399.74,Healthcare
Miscellaneous,other service #7355,42.76,Others
Spotify,game music,10.03,Entertainment
Trader Joes,meat #2806,45.25,Groceries
Steam,game streaming entertainment,27.86,Entertainment
McDonalds,restaurant,404.74,Food & Dining
Unknown Vendor,other,145.2,Others
Various Services,general service,420.71,Others
Local Clinic,doctor prescription medicine,233.1,Healthcare
BP,ride transportation fuel #9977,59.71,Transportation
Quest Diagnostics,medical,129.68,Healthcare
Steam,streaming game #9153,39.69,Entertainment
Pizza Hut,lunch dinner,64.32,Food & Dining
Netflix,game streaming entertainment,30.04,Entertainment
Chipotle,takeout restaurant lunch #8702,481.13,Food & Dining
AMC Theaters,streaming music movie,14.46,Entertainment
Amazon,purchase accessories #5004,56.31,Shopping
Miscellaneous,other service,645.85,Others
Shell,gas,73.47,Transportation
Trader Joes,food dairy,21.08,Groceries
Subway,meal,141.38,Food & Dining
Steam,music entertainment movie,31.5,Entertainment
Nike,electronics #4251,228.73,Shopping
Water Service,bill utility service,976.98,Bills & Utilities
Chipotle,dinner,125.39,Food & Dining
AT&T,service monthly bill,94.62,Bills & Utilities
Quest Diagnostics,health prescription doctor,432.24,Healthcare
Various Services,service misc #7648,35.02,Others
AT&T,utility service payment,472.54,Bills & Utilities
McDonalds,dinner restaurant meal #8336,756.56,Food & Dining
Shell,ride,22.94,Transportation
Spotify,music #9358,48.23,Entertainment
Nike,accessories,255.76,Shopping
Safeway,groceries meat dairy,137.03,Groceries
Safeway,meat bread,128.48,Groceries
Various Services,other general,330.51,Others
Unknown Vendor,payment #9790,557.79,Others
Water Service,bill payment utility,757.33,Bills & Utilities
Local Restaurant,lunch delivery restaurant,656.45,Food & Dining
Xbox,streaming game,25.93,Entertainment
Unknown Vendor,payment misc general #1854,333.61,Others
Xbox,streaming game,33.16,Entertainment
Verizon,payment service,970.65,Bills & Utilities
Water Service,service,491.24,Bills & Utilities
Safeway,groceries produce dairy,97.81,Groceries
Local Clinic,doctor health,384.77,Healthcare
H&M,purchase #2732,141.45,Shopping
Netflix,entertainment game music,31.6,Entertainment
Steam,music,18.08,Entertainment
Pizza Hut,meal lunch restaurant,277.37,Food & Dining
Lyft,transportation transit fuel,10.07,Transportation
Unknown Vendor,misc service other #4792,282.22,Others
Steam,movie,37.69,Entertainment
Amazon,electronics,201.67,Shopping
Nike,clothes electronics accessories #9230,31.75,Shopping
Kroger,produce #3847,76.96,Groceries
Verizon,service utility payment #6836,858.02,Bills & Utilities
Subway,meal delivery restaurant #7826,68.31,Food & Dining
Lyft,transit fuel,63.87,Transportation
Trader Joes,groceries dairy,33.82,Groceries
Xbox,movie streaming #7018,33.52,Entertainment
Walgreens,prescription #6699,106.68,Healthcare
H&M,electronics clothes accessories,224.38,Shopping
Local Restaurant,takeout restaurant #2047,434.38,Food & Dining
Netflix,movie music streaming #1747,42.23,Entertainment
Chipotle,restaurant takeout,568.1,Food & Dining
AT&T,bill service payment,24.71,Bills & Utilities
Various Services,general other #8594,373.27,Others
Best Buy,accessories #7742,18.96,Shopping
Electric Company,payment,11.88,Bills & Utilities
McDonalds,meal takeout #4638,873.52,Food & Dining
Spotify,streaming #9126,23.63,Entertainment
Amazon,purchase #7296,138.12,Shopping
Walgreens,medicine #6919,469.98,Healthcare
Uber,taxi gas fuel,70.13,Transportation
Water Service,service,648.7,Bills & Utilities
Pizza Hut,meal lunch dinner,819.19,Food & Dining
Walmart,groceries food produce,53.07,Groceries
BP,gas transportation,34.57,Transportation
Miscellaneous,other misc #1892,338.34,Others
Xbox,streaming,27.75,Entertainment
Water Service,bill #6516,751.01,Bills & Utilities
CVS,health #7815,35.71,Healthcare
Miscellaneous,payment service general,648.99,Others
Best Buy,clothes accessories purchase,88.15,Shopping
Walgreens,medicine,332.89,Healthcare
Subway,dinner,431.28,Food & Dining
Miscellaneous,other misc service,692.01,Others
Kroger,food meat,107.71,Groceries
Steam,movie,28.34,Entertainment
Lyft,ride fuel transportation,47.85,Transportation
Safeway,groceries food #1729,195.02,Groceries
Various Services,service #8684,442.63,Others
BP,gas fuel,64.38,Transportation
Spotify,streaming music entertainment #2653,40.75,Entertainment
Unknown Vendor,other,666.56,Others
AMC Theaters,streaming game music,23.78,Entertainment
Verizon,bill monthly utility,244.65,Bills & Utilities
Uber,ride transit,57.13,Transportation
H&M,accessories,216.72,Shopping
Amazon,electronics purchase #3444,189.22,Shopping
Xbox,game music streaming,30.99,Entertainment
Amazon,clothes accessories electronics,59.74,Shopping
Pizza Hut,meal dinner,904.84,Food & Dining
Safeway,bread food meat #1155,137.01,Groceries
Safeway,meat bread food,196.98,Groceries
Metro,taxi fuel,35.52,Transportation
Pizza Hut,takeout,789.55,Food & Dining
Trader Joes,bread,150.82,Groceries
Various Services,other payment general,71.52,Others
Miscellaneous,misc,779.5,Others
Best Buy,electronics clothes #7565,168.52,Shopping
Target,purchase accessories #2546,133.03,Shopping
Whole Foods,produce,92.36,Groceries
Walgreens,medicine,286.73,Healthcare
Unknown Vendor,general payment service #4591,788.34,Others
Local Restaurant,takeout,257.16,Food & Dining
Best Buy,clothes,185.42,Shopping
BP,transit taxi #2897,29.39,Transportation
Metro,transportation ride,18.59,Transportation
Whole Foods,bread meat dairy,126.43,Groceries
H&M,clothes accessories #8302,83.99,Shopping
CVS,medicine health prescription #4281,211.79,Healthcare
Unknown Vendor,misc payment general,575.67,Others
Quest Diagnostics,health medicine,371.91,Healthcare
Walmart,dairy food #7334,83.59,Groceries
Unknown Vendor,other service payment,467.62,Others
Best Buy,shoes,283.65,Shopping
BP,transit gas,69.09,Transportation
Water Service,payment,745.95,Bills & Utilities
Miscellaneous,other service,673.73,Others
Walgreens,prescription medicine doctor,130.96,Healthcare
Unknown Vendor,general service misc,673.41,Others
Subway,delivery dinner lunch #3920,888.79,Food & Dining
Water Service,utility payment,278.85,Bills & Utilities
Uber,gas,54.32,Transportation
Subway,restaurant,233.0,Food & Dining
Nike,purchase,105.54,Shopping
Water Service,service #9381,425.9,Bills & Utilities
Quest Diagnostics,prescription,459.97,Healthcare
Best Buy,purchase,159.08,Shopping
Verizon,service,45.41,Bills & Utilities
Lyft,gas taxi #5854,28.3,Transportation
Unknown Vendor,payment,589.5,Others
H&M,clothes shoes purchase,290.48,Shopping
Trader Joes,meat bread groceries,91.74,Groceries
AT&T,utility service,96.94,Bills & Utilities
AT&T,bill,151.44,Bills & Utilities
Xbox,game streaming movie #4104,30.62,Entertainment
Nike,purchase electronics accessories,266.89,Shopping
Various Services,general service other,198.27,Others
Local Clinic,doctor prescription,351.15,Healthcare
BP,transit gas,27.86,Transportation
Local Clinic,medicine prescription,397.15,Healthcare
Water Service,utility monthly #5362,737.87,Bills & Utilities
Safeway,bread meat,40.42,Groceries
Kroger,dairy produce,199.29,Groceries
Subway,restaurant takeout #5006,875.08,Food & Dining
CVS,doctor,128.47,Healthcare
BP,fuel,43.3,Transportation
Uber,transit transportation gas,30.29,Transportation
Various Services,misc other general #3863,242.54,Others
Verizon,service #8098,737.23,Bills & Utilities
Uber,taxi gas #1127,40.79,Transportation
Uber,transit fuel,42.4,Transportation
Walgreens,medicine medical doctor,469.1,Healthcare
Local Clinic,medicine,457.53,Healthcare
Unknown Vendor,payment,821.19,Others
Electric Company,utility payment #8730,579.47,Bills & Utilities
Best Buy,clothes purchase electronics,171.48,Shopping
Quest Diagnostics,medicine doctor #8635,446.77,Healthcare
Kroger,food dairy groceries,103.7,Groceries
Metro,transit ride #5633,39.7,Transportation
BP,taxi transportation,41.79,Transportation
Amazon,clothes purchase,127.78,Shopping
Amazon,clothes shoes accessories,62.34,Shopping
AT&T,payment service monthly #1996,487.79,Bills & Utilities
Pizza Hut,delivery dinner,836.53,Food & Dining
BP,fuel gas ride #7230,35.28,Transportation
Whole Foods,produce groceries bread #8791,183.99,Groceries
Pizza Hut,takeout restaurant,987.46,Food & Dining
Miscellaneous,payment service #2091,132.35,Others
Local Clinic,prescription,319.35,Healthcare
Trader Joes,food #9199,64.49,Groceries
Various Services,other,571.64,Others
Verizon,bill utility,832.86,Bills & Utilities
Spotify,streaming entertainment,12.89,Entertainment
BP,ride #7053,64.79,Transportation
CVS,prescription,293.82,Healthcare
Metro,transit fuel,56.1,Transportation
Metro,transportation fuel gas,32.64,Transportation
Lyft,transportation ride transit #7691,7.85,Transportation
Miscellaneous,payment misc,176.96,Others
Nike,shoes clothes purchase,39.28,Shopping
Xbox,movie music streaming #5188,43.0,Entertainment
Walgreens,medicine prescription health #7101,175.12,Healthcare
Whole Foods,groceries,175.98,Groceries
Miscellaneous,misc,859.51,Others
Amazon,purchase accessories #3236,198.73,Shopping
Trader Joes,bread food #5937,39.88,Groceries
Spotify,streaming game,46.36,Entertainment
Trader Joes,groceries dairy bread,67.85,Groceries
Local Clinic,medical #4029,491.4,Healthcare
Metro,ride fuel transportation,68.63,Transportation
Electric Company,bill utility payment #7790,324.73,Bills & Utilities
Pizza Hut,restaurant dinner,423.46,Food & Dining
Local Restaurant,lunch meal #4315,270.91,Food & Dining
Nike,shoes #3076,141.72,Shopping
Metro,ride,45.54,Transportation
Trader Joes,dairy,126.32,Groceries
Safeway,food groceries meat,176.45,Groceries
Shell,ride transportation transit,11.8,Transportation
Local Clinic,health medical,391.07,Healthcare
Walgreens,medicine health,87.34,Healthcare
Trader Joes,dairy,69.03,Groceries
Kroger,produce dairy bread,191.51,Groceries
Netflix,music #2586,28.16,Entertainment
Nike,accessories,177.97,Shopping
Nike,accessories purchase,263.58,Shopping
Xbox,music game streaming,16.41,Entertainment
Metro,ride transportation transit,13.27,Transportation
Kroger,dairy bread,181.43,Groceries
Metro,taxi transportation fuel,54.84,Transportation
CVS,doctor health,439.56,Healthcare
Walgreens,prescription,341.5,Healthcare
Electric Company,utility bill #7136,421.88,Bills & Utilities
Trader Joes,food groceries bread #4175,137.1,Groceries
Verizon,bill service #7689,696.42,Bills & Utilities
Best Buy,purchase,57.52,Shopping
Nike,clothes purchase,15.02,Shopping
Xbox,movie entertainment,23.41,Entertainment
Local Clinic,medicine medical prescription #1103,184.04,Healthcare
Metro,ride taxi gas,59.28,Transportation
Xbox,entertainment music game #2532,28.18,Entertainment
Amazon,clothes accessories electronics,207.18,Shopping
AMC Theaters,music,28.39,Entertainment
Walmart,bread dairy #6375,36.73,Groceries
Metro,taxi gas transit,68.41,Transportation
Whole Foods,food #8113,61.13,Groceries
Spotify,entertainment #2119,10.88,Entertainment
Netflix,movie,28.46,Entertainment
Xbox,game,10.92,Entertainment
Quest Diagnostics,doctor health #7721,63.1,Healthcare
Various Services,misc #4209,802.52,Others
AMC Theaters,movie,13.75,Entertainment
Chipotle,takeout,636.79,Food & Dining
AT&T,service bill payment #6190,832.95,Bills & Utilities
AMC Theaters,entertainment game streaming #6277,28.1,Entertainment
Water Service,service utility #7252,629.38,Bills & Utilities
Shell,transportation gas,42.89,Transportation
AT&T,utility payment,90.65,Bills & Utilities
Uber,transit,22.87,Transportation
Xbox,streaming movie entertainment,31.33,Entertainment
CVS,medicine health #2810,124.5,Healthcare
Local Clinic,medical #2065,437.19,Healthcare
Various Services,service,918.43,Others
Lyft,taxi,30.84,Transportation
Uber,transit #9019,55.44,Transportation
Unknown Vendor,other #7657,454.14,Others
Local Restaurant,dinner,732.35,Food & Dining
Local Clinic,doctor,311.87,Healthcare
Unknown Vendor,misc #5897,134.9,Others
Nike,electronics #5321,249.92,Shopping
Miscellaneous,misc,10.1,Others
Lyft,fuel gas,44.59,Transportation
Local Restaurant,takeout,288.37,Food & Dining
Steam,game entertainment music,13.96,Entertainment
Subway,lunch #7990,42.49,Food & Dining
Walmart,meat food produce,72.99,Groceries
Unknown Vendor,misc payment,599.16,Others
Local Clinic,doctor medicine health,144.14,Healthcare
Netflix,music game,21.19,Entertainment
Walmart,food #8779,144.18,Groceries
Water Service,service payment utility,82.2,Bills & Utilities
Kroger,groceries #6268,61.49,Groceries
Water Service,service monthly bill,511.57,Bills & Utilities
Lyft,transportation transit,49.96,Transportation
Chipotle,delivery dinner lunch #2700,574.2,Food & Dining
Local Clinic,health doctor medical,206.48,Healthcare
Walgreens,doctor prescription,317.4,Healthcare
Lyft,taxi,48.96,Transportation
Local Restaurant,lunch restaurant takeout #2451,112.43,Food & Dining
AT&T,payment bill #6919,399.62,Bills & Utilities
Target,clothes shoes #7634,20.82,Shopping
Netflix,entertainment streaming #5934,39.0,Entertainment
Amazon,purchase,41.38,Shopping
Verizon,service bill,455.33,Bills & Utilities
Local Restaurant,dinner meal takeout #3560,368.58,Food & Dining
Best Buy,electronics accessories shoes #4620,210.21,Shopping
Uber,gas taxi,33.42,Transportation
Local Restaurant,takeout delivery meal,453.14,Food & Dining
AMC Theaters,entertainment,26.74,Entertainment
Spotify,movie game music #6476,17.15,Entertainment
Miscellaneous,service #2143,145.11,Others
Trader Joes,bread meat,145.09,Groceries
Safeway,food meat dairy #8485,146.85,Groceries
Uber,transportation,63.42,Transportation
Whole Foods,groceries meat dairy,75.34,Groceries
Kroger,bread food meat,120.45,Groceries
Spotify,movie music entertainment,47.03,Entertainment
Miscellaneous,general other,65.58,Others
Netflix,entertainment game movie,23.19,Entertainment
Miscellaneous,misc,317.28,Others
CVS,doctor medical medicine,24.16,Healthcare
CVS,prescription,200.51,Healthcare
McDonalds,lunch delivery dinner,916.76,Food & Dining
Subway,dinner meal lunch,430.99,Food & Dining
Verizon,bill payment,787.84,Bills & Utilities
Various Services,other payment,124.62,Others
Spotify,streaming entertainment,38.71,Entertainment
Miscellaneous,payment general other #4540,926.98,Others
Unknown Vendor,service other general,764.89,Others
Spotify,music movie,36.65,Entertainment
Quest Diagnostics,medical,293.43,Healthcare
CVS,health,317.32,Healthcare
Steam,entertainment,37.54,Entertainment
Miscellaneous,other,810.42,Others
Lyft,transit,30.84,Transportation
Unknown Vendor,misc payment other #1383,175.15,Others
Unknown Vendor,payment,181.09,Others
Subway,restaurant takeout lunch,977.49,Food & Dining
Pizza Hut,meal dinner restaurant,312.31,Food & Dining
Chipotle,takeout meal delivery #4466,310.21,Food & Dining
Subway,takeout meal,118.88,Food & Dining
Water Service,utility payment bill,735.55,Bills & Utilities
Subway,delivery,879.44,Food & Dining
Lyft,fuel gas #3658,79.26,Transportation
Spotify,game movie,14.21,Entertainment
Unknown Vendor,payment,276.71,Others
Local Restaurant,dinner takeout meal,202.73,Food & Dining
Best Buy,electronics purchase accessories #6321,238.2,Shopping
Trader Joes,bread meat produce,116.66,Groceries
Shell,taxi,54.24,Transportation
Netflix,music game #7252,43.96,Entertainment
Whole Foods,bread produce,150.66,Groceries
Lyft,transportation taxi ride #5910,12.0,Transportation
Water Service,payment bill,368.2,Bills & Utilities
Amazon,purchase clothes,171.9,Shopping
Amazon,clothes accessories shoes,58.8,Shopping
Local Restaurant,lunch,612.28,Food & Dining
Shell,transit taxi,16.27,Transportation
Walmart,dairy groceries bread,33.54,Groceries
Nike,electronics shoes,95.7,Shopping
Subway,delivery #3021,908.81,Food & Dining
Amazon,shoes clothes,99.76,Shopping
Amazon,electronics clothes #9050,54.35,Shopping
Lyft,taxi,63.33,Transportation
Uber,transportation,73.98,Transportation
Walmart,food #2719,187.02,Groceries
Nike,shoes purchase,17.03,Shopping
AT&T,bill,111.08,Bills & Utilities
Miscellaneous,service,388.34,Others
Unknown Vendor,general,568.05,Others
Subway,lunch meal,20.53,Food & Dining
Miscellaneous,misc #8127,295.83,Others
Walmart,produce groceries,157.71,Groceries
Quest Diagnostics,medical,341.1,Healthcare
Nike,purchase accessories #1783,73.38,Shopping
Whole Foods,groceries,110.1,Groceries
AT&T,service monthly bill,462.9,Bills & Utilities
Spotify,streaming game music,44.33,Entertainment
BP,gas taxi,37.63,Transportation
Chipotle,restaurant delivery dinner,21.45,Food & Dining
Chipotle,delivery dinner,261.38,Food & Dining
Local Clinic,doctor medical,310.85,Healthcare
Local Restaurant,dinner,518.97,Food & Dining
Xbox,streaming movie #2211,41.87,Entertainment
McDonalds,meal dinner takeout,82.3,Food & Dining
Pizza Hut,delivery meal restaurant,161.19,Food & Dining
Water Service,payment utility,85.48,Bills & Utilities
Verizon,monthly bill utility,858.09,Bills & Utilities
Metro,taxi ride gas #1197,28.06,Transportation
Miscellaneous,misc other payment #8224,772.18,Others
Local Clinic,medical health,405.71,Healthcare
Kroger,meat food,158.19,Groceries
Walgreens,medical health,249.05,Healthcare
Metro,transit taxi transportation #7144,64.86,Transportation
Target,electronics purchase accessories,130.46,Shopping
Metro,gas fuel,35.33,Transportation
Trader Joes,dairy meat groceries,83.3,Groceries
AMC Theaters,streaming,23.62,Entertainment
Chipotle,lunch restaurant #9658,343.8,Food & Dining
Spotify,music streaming entertainment,23.34,Entertainment
Steam,game music,34.48,Entertainment
Electric Company,service monthly utility,174.42,Bills & Utilities
Pizza Hut,meal dinner restaurant,219.79,Food & Dining
Metro,ride taxi #1205,11.1,Transportation
Target,purchase shoes accessories,250.4,Shopping
Pizza Hut,delivery restaurant,234.98,Food & Dining
CVS,doctor,333.11,Healthcare
Netflix,game movie entertainment #6147,40.69,Entertainment
Chipotle,dinner meal lunch,804.59,Food & Dining
Safeway,groceries,89.1,Groceries
BP,transportation taxi,17.57,Transportation
H&M,purchase,32.7,Shopping
Safeway,groceries dairy,143.45,Groceries
Netflix,music movie,44.17,Entertainment
Miscellaneous,misc #9156,494.64,Others
Spotify,movie music game #2506,10.44,Entertainment
Quest Diagnostics,health medicine prescription #9465,208.0,Healthcare
Verizon,service,559.43,Bills & Utilities
Netflix,streaming game movie,46.9,Entertainment
Metro,transportation #7367,49.52,Transportation
Metro,transit,46.18,Transportation
Walgreens,doctor #7766,436.86,Healthcare
Steam,game,18.47,Entertainment
Best Buy,purchase,242.7,Shopping
BP,gas transportation fuel #7030,21.72,Transportation
BP,ride gas fuel #5391,11.67,Transportation
Shell,fuel gas transportation,31.01,Transportation
CVS,prescription #6143,328.28,Healthcare
AT&T,payment bill monthly,877.04,Bills & Utilities
AMC Theaters,entertainment streaming movie,16.38,Entertainment
AMC Theaters,streaming game music #9145,40.77,Entertainment
Netflix,music movie,30.95,Entertainment
Unknown Vendor,other service #5903,816.74,Others
Local Restaurant,restaurant delivery,52.02,Food & Dining
McDonalds,meal restaurant takeout,519.83,Food & Dining
Lyft,ride gas,35.61,Transportation
Various Services,other misc #1531,781.95,Others
Best Buy,clothes shoes electronics,69.41,Shopping
Miscellaneous,service general #2228,131.53,Others
AMC Theaters,game music entertainment,15.18,Entertainment
Steam,game,32.59,Entertainment
Local Clinic,health medical doctor,168.53,Healthcare
Local Restaurant,restaurant meal,786.16,Food & Dining
Water Service,bill monthly,130.1,Bills & Utilities
Safeway,food,195.93,Groceries
Walmart,bread #8399,76.05,Groceries
Local Restaurant,takeout meal dinner,403.46,Food & Dining
Chipotle,delivery takeout,281.92,Food & Dining
Target,shoes accessories #5103,134.42,Shopping
Lyft,fuel gas #6848,35.16,Transportation
Best Buy,accessories purchase shoes,147.51,Shopping
Unknown Vendor,service misc payment,63.7,Others
Miscellaneous,service general,963.82,Others
Local Restaurant,meal,32.98,Food & Dining
Lyft,transportation ride fuel #5823,60.57,Transportation
Amazon,electronics purchase accessories #4505,216.6,Shopping
Trader Joes,groceries meat food #9362,57.45,Groceries
AT&T,service,96.07,Bills & Utilities
Local Clinic,doctor medical health,251.1,Healthcare
Water Service,service monthly payment,33.19,Bills & Utilities
AT&T,payment,842.18,Bills & Utilities
Electric Company,bill service,954.79,Bills & Utilities
Pizza Hut,delivery meal dinner,62.02,Food & Dining
Spotify,entertainment #8911,41.76,Entertainment
Electric Company,service utility #3575,59.87,Bills & Utilities
H&M,electronics clothes,23.59,Shopping
Nike,shoes purchase electronics #3920,230.4,Shopping
AT&T,bill,817.95,Bills & Utilities
Various Services,misc general payment,455.88,Others
Xbox,streaming game,26.41,Entertainment
Subway,delivery,382.52,Food & Dining
Local Clinic,health medical doctor #3813,429.88,Healthcare
Unknown Vendor,service #5399,341.49,Others
AT&T,utility,773.89,Bills & Utilities
Metro,transportation #5948,34.92,Transportation
Unknown Vendor,payment general misc,428.25,Others
AT&T,bill service monthly,947.63,Bills & Utilities
Chipotle,delivery restaurant dinner,606.51,Food & Dining
Local Restaurant,meal restaurant delivery,279.58,Food & Dining
Kroger,dairy bread,43.05,Groceries
Water Service,bill service #6113,141.59,Bills & Utilities
Chipotle,delivery takeout,141.06,Food & Dining
Unknown Vendor,payment service,946.05,Others
Miscellaneous,misc,406.96,Others
Unknown Vendor,payment other #6371,389.75,Others
Various Services,payment service,881.1,Others
Lyft,gas taxi,21.07,Transportation
H&M,shoes accessories,271.03,Shopping
Local Clinic,medicine,155.42,Healthcare
Subway,lunch dinner,459.38,Food & Dining
McDonalds,takeout meal #2809,873.98,Food & Dining
Pizza Hut,lunch,135.67,Food & Dining
Nike,shoes electronics accessories,188.1,Shopping
AT&T,service payment,789.69,Bills & Utilities
Water Service,payment,637.95,Bills & Utilities
McDonalds,restaurant,227.68,Food & Dining
Whole Foods,dairy groceries #6258,54.64,Groceries
Chipotle,meal delivery,467.43,Food & Dining
Water Service,utility service monthly,507.71,Bills & Utilities
Water Service,payment,786.92,Bills & Utilities
Miscellaneous,misc payment #4666,887.08,Others
AMC Theaters,entertainment streaming music #8373,19.85,Entertainment
Pizza Hut,dinner takeout,745.15,Food & Dining
Electric Company,monthly payment utility,754.37,Bills & Utilities
H&M,accessories clothes electronics #1048,90.3,Shopping
Verizon,utility #7748,862.2,Bills & Utilities
Whole Foods,bread meat food,24.22,Groceries
Amazon,purchase,264.4,Shopping
Nike,shoes electronics accessories,86.33,Shopping
McDonalds,dinner restaurant lunch,732.06,Food & Dining
Water Service,payment service utility,546.16,Bills & Utilities
Electric Company,bill payment monthly,106.91,Bills & Utilities
BP,fuel gas,16.58,Transportation
Chipotle,restaurant meal dinner #2573,669.55,Food & Dining
Xbox,movie game streaming,26.37,Entertainment
Unknown Vendor,other,45.36,Others
Whole Foods,dairy groceries #6646,25.3,Groceries
Chipotle,takeout #6387,767.78,Food & Dining
Unknown Vendor,other,377.44,Others
BP,fuel transit taxi #5881,64.07,Transportation
Shell,taxi #3096,20.72,Transportation
Spotify,entertainment streaming music,44.67,Entertainment
Target,electronics purchase,209.63,Shopping
Quest Diagnostics,medical medicine doctor,179.47,Healthcare
Shell,taxi,44.0,Transportation
Metro,transportation taxi #2027,17.82,Transportation
Netflix,music movie entertainment,35.26,Entertainment
Local Clinic,medical doctor,351.8,Healthcare
Trader Joes,bread,180.28,Groceries
AMC Theaters,music game entertainment #1857,11.07,Entertainment
Quest Diagnostics,health prescription medicine,23.47,Healthcare
Steam,music,17.46,Entertainment
Safeway,meat,43.68,Groceries
Target,shoes clothes #9064,171.63,Shopping
Local Restaurant,restaurant dinner,699.38,Food & Dining
Local Restaurant,delivery #7483,882.22,Food & Dining
Verizon,monthly payment utility,647.75,Bills & Utilities
Whole Foods,meat produce,124.51,Groceries
Electric Company,monthly,980.14,Bills & Utilities
Trader Joes,meat produce #6548,109.93,Groceries
Walgreens,doctor #5326,290.33,Healthcare
Kroger,produce meat,131.62,Groceries
AMC Theaters,streaming entertainment movie,27.61,Entertainment
Verizon,service #5621,616.69,Bills & Utilities
Whole Foods,meat,80.92,Groceries
AT&T,service bill,448.87,Bills & Utilities
BP,ride gas #2937,75.85,Transportation
Trader Joes,meat,183.53,Groceries
Netflix,music,28.9,Entertainment
Trader Joes,meat food produce #6112,117.62,Groceries
Unknown Vendor,other service general,359.5,Others
McDonalds,restaurant delivery takeout,792.0,Food & Dining
Uber,transit fuel transportation,6.73,Transportation
Local Clinic,health #9319,28.17,Healthcare
Various Services,payment,51.92,Others
Safeway,dairy #6541,80.77,Groceries
Kroger,food meat,92.53,Groceries
Verizon,bill,961.12,Bills & Utilities
Unknown Vendor,general misc service,379.68,Others
Unknown Vendor,service misc #3277,500.64,Others
Spotify,entertainment music #4319,29.24,Entertainment
Shell,transit ride transportation,69.72,Transportation
Metro,gas fuel,50.9,Transportation
Verizon,utility,808.75,Bills & Utilities
Subway,meal restaurant,808.39,Food & Dining
Xbox,streaming movie,22.52,Entertainment
Pizza Hut,restaurant lunch takeout,516.73,Food & Dining
CVS,prescription,410.87,Healthcare
Steam,movie game entertainment,14.88,Entertainment
H&M,purchase clothes #5581,36.23,Shopping
CVS,medicine medical,359.03,Healthcare
Kroger,groceries,35.83,Groceries
Local Restaurant,meal,239.77,Food & Dining
Spotify,streaming game,22.28,Entertainment
Quest Diagnostics,health prescription doctor,228.45,Healthcare
Walgreens,medical prescription,410.77,Healthcare
BP,transit,12.23,Transportation
Whole Foods,groceries,83.76,Groceries
Nike,shoes clothes purchase,27.76,Shopping
Various Services,payment misc #6220,689.81,Others
AMC Theaters,game,33.27,Entertainment
Walgreens,doctor,312.39,Healthcare
Shell,fuel gas #1552,66.66,Transportation
Best Buy,accessories,255.94,Shopping
Electric Company,payment monthly #3884,857.01,Bills & Utilities
McDonalds,restaurant lunch takeout #2744,924.14,Food & Dining
Electric Company,service,389.7,Bills & Utilities
McDonalds,dinner takeout,666.73,Food & Dining
Walgreens,doctor health medicine,389.21,Healthcare
McDonalds,takeout restaurant dinner,478.7,Food & Dining
Water Service,monthly service,565.83,Bills & Utilities
AT&T,utility,99.95,Bills & Utilities
Steam,movie music entertainment,10.26,Entertainment
AMC Theaters,movie game,13.77,Entertainment
Amazon,shoes electronics #3276,277.78,Shopping
AMC Theaters,entertainment streaming,10.92,Entertainment
Trader Joes,produce food,54.57,Groceries
Amazon,shoes purchase clothes,30.31,Shopping
Amazon,purchase,33.34,Shopping
Subway,takeout lunch dinner #2410,721.65,Food & Dining
McDonalds,takeout meal restaurant,846.11,Food & Dining
Walmart,groceries,97.25,Groceries
Uber,ride transit transportation,7.71,Transportation
Amazon,clothes,287.18,Shopping
McDonalds,takeout restaurant,830.84,Food & Dining
Kroger,produce dairy,86.84,Groceries
Netflix,movie #7573,36.19,Entertainment
Various Services,payment service misc,176.01,Others
Best Buy,clothes purchase,296.83,Shopping
Best Buy,shoes clothes #3359,245.02,Shopping
Lyft,gas taxi #8409,47.57,Transportation
Local Clinic,medicine medical,76.35,Healthcare
Water Service,utility service,778.71,Bills & Utilities
McDonalds,meal lunch,766.08,Food & Dining
Walgreens,health medical,438.22,Healthcare
Local Clinic,health prescription doctor,229.52,Healthcare
Electric Company,service monthly #4828,148.42,Bills & Utilities
Walmart,bread produce meat #6674,79.76,Groceries
Target,purchase shoes,261.39,Shopping
Chipotle,delivery #4895,102.24,Food & Dining
Amazon,purchase shoes,229.6,Shopping
Lyft,taxi fuel ride,66.56,Transportation
Lyft,ride,33.52,Transportation
H&M,shoes electronics,128.85,Shopping
Lyft,fuel taxi #2701,52.23,Transportation
Verizon,service #7292,322.11,Bills & Utilities
Shell,transportation gas taxi #7229,57.6,Transportation
Quest Diagnostics,medicine health,135.71,Healthcare
Safeway,meat bread produce,194.44,Groceries
Local Clinic,prescription #9760,424.58,Healthcare
Water Service,utility service bill,311.21,Bills & Utilities
Metro,transportation ride fuel,51.96,Transportation
Electric Company,utility service #2497,488.03,Bills & Utilities
Various Services,general service,512.03,Others
